age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
178,1,-1.5185,19.6486,0.1238,13.348,14.636,15.924,17.541,19.649,22.537,26.804,33.941,41.078,42.743,50.069,57.395,64.721
179,1,-1.5074,19.7117,0.12396,13.377,14.672,15.968,17.594,19.712,22.611,26.887,34.012,41.137,42.799,50.119,57.439,64.759
180,1,-1.4961,19.7744,0.12412,13.405,14.708,16.011,17.647,19.774,22.685,26.969,34.081,41.192,42.852,50.166,57.48,64.794
181,1,-1.4848,19.8367,0.12428,13.433,14.744,16.054,17.699,19.837,22.758,27.051,34.149,41.247,42.905,50.213,57.521,64.829
182,1,-1.4733,19.8987,0.12443,13.461,14.779,16.097,17.75,19.899,22.831,27.13,34.213,41.295,42.95,50.25,57.55,64.85
183,1,-1.4617,19.9603,0.12458,13.488,14.814,16.14,17.802,19.96,22.903,27.21,34.275,41.341,42.995,50.287,57.579,64.871
184,1,-1.45,20.0215,0.12473,13.515,14.848,16.182,17.853,20.022,22.975,27.288,34.337,41.386,43.035,50.318,57.601,64.884
185,1,-1.4382,20.0823,0.12487,13.541,14.882,16.224,17.904,20.082,23.046,27.365,34.395,41.425,43.073,50.347,57.621,64.895
186,1,-1.4263,20.1427,0.12501,13.567,14.916,16.265,17.954,20.143,23.116,27.441,34.452,41.462,43.108,50.372,57.636,64.9
187,1,-1.4143,20.2026,0.12514,13.593,14.95,16.306,18.004,20.203,23.186,27.515,34.505,41.495,43.14,50.393,57.646,64.899
